Parameter,Value
G,6.674e-11
TimeStep,3600.0
TotalSimTime_Predefined,5184000.0
Integrator,rk4
CollisionModel,ignore
SimulationMode,pre_defined

Earth_ID,0
Earth_Mass,5.972e+24
Earth_InitialPosX,-4672203.365158763
Earth_InitialPosY,0.0
Earth_InitialPosZ,0.0
Earth_InitialVelX,0.0
Earth_InitialVelY,12.45246027415669
Earth_InitialVelZ,0.0
Earth_Radius,6372255.736961294
Earth_Color,#1E90FF
Moon_ID,1
Moon_Mass,7.348e+22
Moon_InitialPosX,379727796.63484126
Moon_InitialPosY,0.0
Moon_InitialPosZ,0.0
Moon_InitialVelX,0.0
Moon_InitialVelY,-1012.0589651233502
Moon_InitialVelZ,0.0
Moon_Radius,1471102.656837848
Moon_Color,#D3D3D3

Time,Earth_Px,Earth_Py,Earth_Pz,Earth_Vx,Earth_Vy,Earth_Vz,Moon_Px,Moon_Py,Moon_Pz,Moon_Vx,Moon_Vy,Moon_Vz
111600.0,-4466954.3749658,1370255.8629870568,0.0,3.65203549317207,11.922969382686327,0.0,363053943.410994,-111288697.88670504,0.0,-296.6090640894937,-967.6365385743129,0.0
115200.0,-4453601.431681825,1413115.515135236,0.0,3.7662656696670216,11.887946247913327,0.0,361969455.73420006,-114767014.00732335,0.0,-305.87952600060834,-964.7466611084608,0.0
118800.0,-4439837.874112161,1455847.1140388781,0.0,3.8801545193231695,11.85182869765163,0.0,360851644.8243459,-118234766.61996207,0.0,-315.121831020686,-961.7679674946572,0.0
122400.0,-4425664.949909905,1498446.7257870468,0.0,3.993691555268977,11.814620057010362,0.0,359700613.5788737,-121691636.4776832,0.0,-324.3351281187364,-958.7007319638617,0.0
126000.0,-4411083.944422681,1540910.4286201543,0.0,4.106866322973369,11.776323751629022,0.0,358516467.95416063,-125137305.33547233,0.0,-333.5185689304416,-955.5452369051256,0.0
129600.0,-4396096.1805744795,1583234.3132913068,0.0,4.219668401210429,11.73694330736416,0.0,357299316.9557775,-128571455.97956148,0.0,-342.67130783644126,-952.3017728397601,0.0
133200.0,-4380703.018744027,1625414.4834265052,0.0,4.332087403021092,11.696482349966777,0.0,356049272.62846667,-131993772.25665757,0.0,-351.7925020403701,-948.9706383947503,0.0
136800.0,-4364905.856639701,1667447.0558836674,0.0,4.444112976671736,11.654944604750474,0.0,354766450.04583883,-135403939.10307395,0.0,-360.8813116466395,-945.5521402754194,0.0
140400.0,-4348706.129170998,1709328.1611104405,0.0,4.555734806609584,11.612333896250373,0.0,353450967.2997909,-138801642.57376197,0.0,-369.93689973795665,-942.0465932373447,0.0
144000.0,-4332105.308316569,1751053.9435007675,0.0,4.666942614414825,11.568654147872861,0.0,352102945.4896449,-142186569.87124032,0.0,-378.9584324525737,-938.4543200575273,0.0
147600.0,-4315104.902988832,1792620.5617501764,0.0,4.777726159749377,11.523909381536162,0.0,350722508.7110093,-145558409.37441912,0.0,-387.94507906125955,-934.7756515048193,0.0
151200.0,-4297706.458895179,1834024.1892097602,0.0,4.888075241302179,11.478103717301794,0.0,349309784.04436404,-148916850.66731617,0.0,-396.8960120439878,-931.0109263096103,0.0
154800.0,-4279911.558395781,1875261.0142388127,0.0,4.9979796977309565,11.43124137299692,0.0,347864901.5433695,-152261584.56766292,0.0,-405.81040716633265,-927.1604911327763,0.0
158400.0,-4261721.820358008,1916327.2405560892,0.0,5.107429408600344,11.383326663827651,0.0,346387994.2229015,-155592303.15539715,0.0,-414.68744355556646,-923.2247005338929,0.0
162000.0,-4243138.900007493,1957219.0875896579,0.0,5.216414295316287,11.334364001983307,0.0,344879198.0468128,-158908699.80103996,0.0,-423.52630377645147,-919.2039169387175,0.0
165600.0,-4224164.488775818,1997932.7908253109,0.0,5.324924322056651,11.2843578962317,0.0,343338651.9154216,-162210469.19395447,0.0,-432.3261739067188,-915.0985106059408,0.0
169200.0,-4204800.314144871,2038464.6021535029,0.0,5.4329494966979155,11.233312951505463,0.0,341766497.65273017,-165497307.37048337,0.0,-441.08624361222735,-910.9088595932129,0.0
172800.0,-4185048.139487871,2078810.7902147833,0.0,5.540479871737907,11.181233868479445,0.0,340162879.99337226,-168768911.74196297,0.0,-449.80570622179613,-906.6353497224464,0.0
176400.0,-4164909.763907075,2118967.640743692,0.0,5.647505545214453,11.128125443139245,0.0,338527946.56929266,-172024981.122611,0.0,-458.48375880170215,-902.2783745443982,0.0
180000.0,-4144387.0220681895,2158931.4569110847,0.0,5.754016661619888,11.073992566340895,0.0,336861847.89615846,-175265215.75728554,0.0,-467.11960222983805,-897.8383353025349,0.0
183600.0,-4123481.784031496,2198698.5596648594,0.0,5.86000341281132,11.01884022336174,0.0,335164737.35950434,-178489317.34911284,0.0,-475.7124412695212,-893.3156408961854,0.0
187200.0,-4102195.9550797064,2238265.2880690484,0.0,5.965456038916576,10.962673493442567,0.0,333436771.2006129,-181696989.08698085,0.0,-484.26148464294874,-888.7107078429815,0.0
190800.0,-4080531.475542566,2277627.9996412457,0.0,6.070364829235733,10.905497549321003,0.0,331678108.50213075,-184887935.67289653,0.0,-492.7659451042903,-884.0239602405923,0.0
194400.0,-4058490.3206182173,2316783.070688342,0.0,6.174720123138162,10.847317656756239,0.0,329888911.1734226,-188061863.34920403,0.0,-501.22503951241293,-879.255829727755,0.0
198000.0,-4036074.500191347,2355726.8966405313,0.0,6.278512310954991,10.78813917404512,0.0,328069343.93566376,-191218479.92566136,0.0,-509.6379889032301,-874.406755444606,0.0
201600.0,-4013286.0586481234,2394455.8923835573,0.0,6.381731834866909,10.727967551529648,0.0,326219574.3066735,-194357494.80637288,0.0,-518.004018561669,-869.4771839923145,0.0
