Parameter,Value
G,6.674e-11
TimeStep,3600.0
TotalSimTime_Predefined,5184000.0
Integrator,rk4
CollisionModel,ignore
SimulationMode,pre_defined

Earth_ID,0
Earth_Mass,5.972e+24
Earth_InitialPosX,-4672203.365158763
Earth_InitialPosY,0.0
Earth_InitialPosZ,0.0
Earth_InitialVelX,0.0
Earth_InitialVelY,12.45246027415669
Earth_InitialVelZ,0.0
Earth_Radius,6372255.736961294
Earth_Color,#1E90FF
Moon_ID,1
Moon_Mass,7.348e+22
Moon_InitialPosX,379727796.63484126
Moon_InitialPosY,0.0
Moon_InitialPosZ,0.0
Moon_InitialVelX,0.0
Moon_InitialVelY,-1012.0589651233502
Moon_InitialVelZ,0.0
Moon_Radius,1471102.656837848
Moon_Color,#D3D3D3

Time,Earth_Px,Earth_Py,Earth_Pz,Earth_Vx,Earth_Vy,Earth_Vz,Moon_Px,Moon_Py,Moon_Pz,Moon_Vx,Moon_Vy,Moon_Vz
1328400.0,4396316.761874695,-1769127.0093021053,0.0,-4.703742129532273,-11.499516035781252,0.0,-350335970.95377696,147212653.54954818,0.0,391.39269059836926,932.7950235560011,0.0
1332000.0,4379185.367024164,-1810442.133496447,0.0,-4.813698539644985,-11.45332861673893,0.0,-348910892.49094456,150563908.98520407,0.0,400.3115712961044,928.9994855007895,0.0
1335600.0,4361658.93637239,-1851589.091176563,0.0,-4.9232064433949425,-11.406090203490324,0.0,-347453772.14632213,153901346.93569502,0.0,409.19360165300304,925.1187012027776,0.0
1339200.0,4343739.102614577,-1892564.1066131843,0.0,-5.032255800707053,-11.357805157266599,0.0,-345964744.0479338,157224661.1571032,0.0,418.0379673496591,921.1530289204004,0.0
1342800.0,4325427.534513707,-1933363.4199499534,0.0,-5.140836614001373,-11.30847793511981,0.0,-344443945.24909353,160533546.70923963,0.0,426.84385755667785,917.1028346834546,0.0
1346400.0,4306725.936745921,-1973983.2875476317,0.0,-5.248938929106015,-11.258113089507447,0.0,-342891515.71570766,163827699.9835598,0.0,435.6104650087106,912.968492258987,0.0
1350000.0,4287636.049742611,-2014419.9823267953,0.0,-5.356552836165967,-11.206715267868285,0.0,-341307598.3133117,167106818.73095536,0.0,444.3369860781541,908.7503831164804,0.0
1353600.0,4268159.64952925,-2054669.7941089894,0.0,-5.463668470547745,-11.154289212189637,0.0,-339692338.7938422,170370602.08941925,0.0,453.0226208485078,904.4488963923395,0.0
1357200.0,4248298.547560978,-2094729.0299563077,0.0,-5.570276013739792,-11.100839758565993,0.0,-338045885.78214544,173618750.61158147,0.0,461.6665731873826,900.0644288536811,0.0
1360800.0,4228054.590554945,-2134594.0145093696,0.0,-5.676365694248556,-11.046371836749131,0.0,-336368390.7622235,176850966.29211357,0.0,470.26805081915444,895.5973848614308,0.0
1364400.0,4207429.660319445,-2174261.09032366,0.0,-5.781927788490147,-10.990890469689722,0.0,-334660008.0632198,180066952.59499884,0.0,478.8262653972564,891.0481763327315,0.0
1368000.0,4186425.6735798405,-2213726.618204206,0.0,-5.886952621677513,-10.934400773070479,0.0,-332920894.8451449,183266414.48066598,0.0,487.34043257610233,886.4172227026655,0.0
1371600.0,4165044.5818013097,-2252986.9775385573,0.0,-5.991430568703037,-10.876907954830884,0.0,-331151211.0843442,186449058.43298385,0.0,495.8097720826362,881.7049508852948,0.0
1375200.0,4143288.3710084176,-2292038.566628038,0.0,-6.09535205501649,-10.818417314683565,0.0,-329351119.55870837,189614592.4861145,0.0,504.2335077875001,876.9117952340231,0.0
1378800.0,4121159.061601537,-2330877.803017246,0.0,-6.198707557498255,-10.758934243622333,0.0,-327520785.83262867,192762726.25122258,0.0,512.6108677758152,872.0381975012834,0.0
1382400.0,4098658.7081701364,-2369501.123821765,0.0,-6.3014876053277415,-10.698464223421952,0.0,-325660378.241698,195893170.9430382,0.0,520.9410844175685,867.0846067975547,0.0
1386000.0,4075789.399302949,-2407904.9860540605,0.0,-6.4036827808469186,-10.637012826129679,0.0,-323770067.8771593,199005639.4062711,0.0,529.2233944376001,862.0514795497115,0.0
1389600.0,4052553.257395042,-2446085.8669475303,0.0,-6.505283720418886,-10.574585713548622,0.0,-321850028.5701026,202099846.14187378,0.0,537.4570389851834,856.9392794587114,0.0
1393200.0,4028952.4384518038,-2484040.264278681,0.0,-6.606281115281406,-10.511188636712973,0.0,-319900436.8754125,205175507.33315098,0.0,545.6412637031939,851.7484774566226,0.0
1396800.0,4004989.1318898676,-2521764.6966874017,0.0,-6.706665712395321,-10.446827435355145,0.0,-317921472.05546755,208232340.87171343,0.0,553.7753187968575,846.479551662997,0.0
1400400.0,3980665.560334992,-2559255.7039953033,0.0,-6.8064283152877785,-10.381508037364894,0.0,-315913316.0635922,211270066.38327315,0.0,561.8584591020759,841.1329873405928,0.0
1404000.0,3955983.979416913,-2596509.847522097,0.0,-6.905559784890192,-10.315236458240445,0.0,-313876153.5272645,214288405.25327843,0.0,569.8899441533196,835.7092768504498,0.0
1407600.0,3930946.677561189,-2633523.710399983,0.0,-7.00405104037086,-10.248018800531703,0.0,-311810171.7310794,217287080.65238577,0.0,577.8690382510842,830.208919606323,0.0
1411200.0,3905555.975778061,-2670293.8978860197,0.0,-7.101893059962169,-10.17986125327557,0.0,-309715560.5994705,220265817.56176668,0.0,585.7950105289042,824.6324220284775,0.0
1414800.0,3879814.227448341,-2706817.037672447,0.0,-7.199076881782309,-10.110770091423449,0.0,-307592512.679191,223224342.798247,0.0,593.6671350199165,818.98029749685,0.0
1418400.0,3853723.8181063556,-2743089.780194933,0.0,-7.295593604651425,-10.040751675260976,0.0,-305441223.12155604,226162385.03927648,0.0,601.4846907229704,813.2530663035802,0.0
1422000.0,3827287.1652199584,-2779108.79893872,0.0,-7.391434388902132,-9.969812449820033,0.0,-303261889.66444796,229079674.84772626,0.0,609.2469616682754,807.4512556049185,0.0
1425600.0,3800506.717967638,-2814870.7907426385,0.0,-7.486590457184324,-9.897958944283095,0.0,-301054712.6140858,231975944.69651225,0.0,616.953236982583,801.5753993725116,0.0
1429200.0,3773384.9570127353,-2850372.476100963,0.0,-7.581053095264203,-9.825197771379985,0.0,-298819894.82656103,234850928.9930419,0.0,624.6028109538956,795.6260383440733,0.0
1432800.0,3745924.3942748006,-2885610.5994630842,0.0,-7.674813652817456,-9.751535626777063,0.0,-296557641.68914163,237704364.10348237,0.0,632.1949830956972,789.6037199734438,0.0
1436400.0,3718127.5726980986,-2920581.9295309656,0.0,-7.767863544216517,-9.676979288458933,0.0,-294268161.1013452,240535988.37684765,0.0,639.7290582107003,783.5089983800417,0.0
1440000.0,3689997.066017296,-2955283.259554365,0.0,-7.860194249311826,-9.601535616102707,0.0,-291951663.4557837,243345542.168903,0.0,647.204346454102,777.3424342977146,0.0
1443600.0,3661535.478520345,-2989711.4076237874,0.0,-7.951797314207037,-9.5252115504449,0.0,-289608361.6187816,246132767.86588362,0.0,654.6201633963468,771.1045950229922,0.0
1447200.0,3632745.4448085865,-3023863.216961145,0.0,-8.042664352028094,-9.448014112641005,0.0,-287238470.9107687,248897409.90802652,0.0,661.975830085386,764.796054362747,0.0
1450800.0,3603629.6295540975,-3057735.5562081006,0.0,-8.132787043686102,-9.369950403617798,0.0,-284842209.0864495,251639214.81291255,0.0,669.2706731084324,758.4173925812678,0.0
1454400.0,3574190.727254303,-3091325.319712066,0.0,-8.222157138633948,-9.291027603418463,0.0,-282419796.314752,254357931.19861695,0.0,676.5040246532029,751.9691963467499,0.0
1458000.0,3544431.461983874,-3124629.427809828,0.0,-8.310766455616568,-9.211252970540567,0.0,-279971455.1585559,257053309.80666625,0.0,683.6752225686423,745.4520586772077,0.0
1461600.0,3514354.5871439367,-3157644.827108781,0.0,-8.398606883414827,-9.130633841266956,0.0,-277497410.55420417,259725103.5247994,0.0,690.7836104251262,738.8665788858153,0.0
1465200.0,3483962.885208618,-3190368.490765737,0.0,-8.485670381582935,-9.049177628989648,0.0,-274997889.7907978,262373067.40953112,0.0,697.8285375741345,732.213362525679,0.0
1468800.0,3453259.1674689436,-3222797.418763288,0.0,-8.571948981179323,-8.966891823526767,0.0,-272473122.4892777,264996958.70851532,0.0,704.809359207392,725.4930213340467,0.0
1472400.0,3422246.2737741205,-3254928.6381836995,0.0,-8.657434785490931,-8.883783990432583,0.0,-269923340.5812938,267596536.88270685,0.0,711.7254364154701,718.7061731759611,0.0
1476000.0,3390927.072270222,-3286759.2034803056,0.0,-8.742119970750823,-8.79986177030074,0.0,-267348778.28786483,270171563.62831926,0.0,718.5761362458445,711.8534419873599,0.0
1479600.0,3359304.459136302,-3318286.1967463847,0.0,-8.825996786849094,-8.71513287806071,0.0,-264749672.0978295,272721802.89857686,0.0,725.3608317604048,704.9354577176294,0.0
1483200.0,3327381.3583179624,-3349506.7279814896,0.0,-8.909057558036986,-8.629605102267556,0.0,-262126260.74609214,275247020.9252587,0.0,732.0789020924088,697.9528562716164,0.0
1486800.0,3295160.721258397,-3380417.9353552097,0.0,-8.99129468362414,-8.543286304385076,0.0,-259478785.19166404,277746986.2400332,0.0,738.7297325028784,690.9062794511037,0.0
1490400.0,3262645.5266269413,-3411016.985468341,0.0,-9.07270063866896,-8.456184418062355,0.0,-256807488.59550282,280221469.69558114,0.0,745.312714436431,683.7963748957554,0.0
1494000.0,3229838.780045143,-3441301.0736114373,0.0,-9.153267974661988,-8.36830744840385,0.0,-254112616.29815182,282670244.48650455,0.0,751.827245576542,676.6237960235358,0.0
1497600.0,3196743.5138103915,-3471267.4240207262,0.0,-9.232989320202249,-8.279663471233025,0.0,-251394415.7971816,285093086.1700209,0.0,758.272729900234,669.3892019706085,0.0
1501200.0,3163362.786617123,-3500913.29013136,0.0,-9.311857381666512,-8.190260632349627,0.0,-248653136.72443572,287489772.6864394,0.0,764.6485777321855,662.0932575307223,0.0
1504800.0,3129699.6832756265,-3530235.954827981,0.0,-9.389864943871393,-8.10010714678067,0.0,-245889030.82308248,289860084.37941873,0.0,770.9542057982576,654.7366330940864,0.0
1508400.0,3095757.3144284836,-3559232.7306925817,0.0,-9.467004870728246,-8.009211298025196,0.0,-243102351.9244753,292203804.0160033,0.0,777.1890372784322,647.3200045857435,0.0
1512000.0,3061538.81626466,-3587900.960249633,0.0,-9.543270105890794,-7.917581437292869,0.0,-240293355.92482352,294520716.8064371,0.0,783.3525018591565,639.8440534034453,0.0
1515600.0,3027047.350231283,-3616238.016208461,0.0,-9.618653673395428,-7.825225982736492,0.0,-237462300.7616757,296810610.4237526,0.0,789.4440357850903,632.3094663550352,0.0
1519200.0,2992286.102743121,-3644241.30170285,0.0,-9.693148678294124,-7.732153418678504,0.0,-234609446.39021784,299073275.0231341,0.0,795.4630819102513,624.7169355953462,0.0
1522800.0,2957258.284889804,-3671908.25052785,0.0,-9.766748307279931,-7.638372294831529,0.0,-231735054.7593887,301308503.2610523,0.0,801.4090897485538,617.0671585626169,0.0
1526400.0,2921967.1321408045,-3699236.327373768,0.0,-9.83944582930496,-7.543891225513059,0.0,-228839389.78781384,303516090.31416935,0.0,807.281515523736,609.3608379144345,0.0
1530000.0,2886415.9040482016,-3726223.0280573224,0.0,-9.911234596190825,-7.448718888854324,0.0,-225922717.33956158,305695833.8980126,0.0,813.0798222186713,601.5986814632075,0.0
1533600.0,2850607.88394727,-3752865.879749936,0.0,-9.98210804323149,-7.352864026003438,0.0,-222985305.19972208,307847534.2854151,0.0,818.8034796240613,593.781402111177,0.0
1537200.0,2814546.378654906,-3779162.4412031546,0.0,-10.052059689788454,-7.25633544032289,0.0,-220027423.0498126,309970994.32472146,0.0,824.4519643865029,585.9097177849702,0.0
1540800.0,2778234.718165928,-3805110.302971163,0.0,-10.121083139878237,-7.159141996581446,0.0,-217049342.44301054,312066019.4577569,0.0,830.0247600559281,577.9843513697034,0.0
1544400.0,2741676.2553472733,-3830707.0876303823,0.0,-10.189172082752107,-7.0612926201405415,0.0,-214051336.7792172,314132417.73755854,0.0,835.5213571324109,570.0060306426401,0.0
1548000.0,2704874.365630125,-3855950.4499961315,0.0,-10.25632029346799,-6.962796296135246,0.0,-211033681.27995384,316169999.84586746,0.0,840.9412531123374,561.9754882064103,0.0
1551600.0,2667832.446699993,-3880838.0773363267,0.0,-10.322521633454537,-6.863662068649856,0.0,-207996652.9630927,318178579.1103786,0.0,846.2839525339358,553.893461421797,0.0
1555200.0,2630553.9181847763,-3905367.689582206,0.0,-10.387770051067264,-6.763899039888209,0.0,-204940530.6174257,320157971.52174896,0.0,851.5489670221606,545.7606923400963,0.0
1558800.0,2593042.221340841,-3929537.039536056,0.0,-10.452059582136748,-6.663516369338781,0.0,-201865594.7770721,322107995.75036067,0.0,856.7358153329292,537.5779276350563,0.0
1562400.0,2555300.8187371385,-3953343.913075926,0.0,-10.515384350508812,-6.562523272934663,0.0,-198772127.69572857,324028473.16283894,0.0,861.8440233967053,529.3459185344032,0.0
1566000.0,2517333.19393739,-3976786.1293573054,0.0,-10.57773856857666,-6.460929022208462,0.0,-195660413.32076326,325919227.8383225,0.0,866.8731243614264,521.065420750958,0.0
1569600.0,2479142.851180376,-3999861.5410117544,0.0,-10.639116537804904,-6.358742943442234,0.0,-192530737.2671567,327780086.58448523,0.0,871.8226586347705,512.7371944133522,0.0
1573200.0,2440733.315058348,-4022568.034342461,0.0,-10.699512649245461,-6.25597441681251,0.0,-189383386.7912916,329610878.95330787,0.0,876.6921739257593,504.36200399634816,0.0
1576800.0,2402108.1301936004,-4044903.529516713,0.0,-10.75892138404524,-6.152632875530496,0.0,-186218650.7645941,331411437.256598,0.0,881.4812252856946,495.9406182507697,0.0
1580400.0,2363270.860913233,-4066865.9807552705,0.0,-10.817337313945606,-6.048727804977524,0.0,-183036819.64702898,333181596.5812572,0.0,886.189375148422,487.4738101330506,0.0
1584000.0,2324225.0909221214,-4088453.3765186085,0.0,-10.874755101773564,-5.944268741835838,0.0,-179838185.46045098,334921194.804294,0.0,890.8161933699217,478.9623567344066,0.0
1587600.0,2284974.4229741436,-4109663.7396900314,0.0,-10.93116950192462,-5.839265273214787,0.0,-176623041.7618148,336630072.6075807,0.0,895.3612572672203,470.40703920963745,0.0
1591200.0,2245522.478541678,-4130495.127755628,0.0,-10.98657536083727,-5.733727035772506,0.0,-173391683.61624652,338308073.492354,0.0,899.8241516566209,461.8086427055654,0.0
1594800.0,2205872.897483409,-4150945.6329810577,0.0,-11.040967617459094,-5.6276637148331705,0.0,-170144407.56997818,339955043.7934565,0.0,904.2044688912492,453.167956289117,0.0
1598400.0,2166029.3377104714,-4171013.3825851534,0.0,-11.094341303704397,-5.521085043499897,0.0,-166881511.62314886,341570832.69331956,0.0,908.5018088979111,444.4857728750545,0.0
1602000.0,2125995.4748509615,-4190696.5389103186,0.0,-11.146691544903364,-5.414000801763373,0.0,-163603295.202474,343155292.23568445,0.0,912.7157792132584,435.7628891533632,0.0
1605600.0,2085775.0019128465,-4209993.299589713,0.0,-11.198013560242693,-5.306420815606296,0.0,-160310059.13378596,344708277.33906233,0.0,916.8459950192612,427.0001055163013,0.0
1609200.0,2045371.6289453034,-4228901.8977112025,0.0,-11.248302663197657,-5.198354956103713,0.0,-157002105.61444807,346229645.80993026,0.0,920.8920791779814,418.19822598511973,0.0
1612800.0,2004789.082698518,-4247420.601978067,0.0,-11.297554261955568,-5.089813138519315,0.0,-153679738.18564475,347719258.35566354,0.0,924.8536622656468,409.3580581364574,0.0
1616400.0,1964031.1062819746,-4265547.716866444,0.0,-11.345763859830598,-4.9808053213978045,0.0,-150343261.7045502,349176978.5972019,0.0,928.7303826060207,400.48041302841915,0.0
1620000.0,1923101.4588212688,-4283281.582779501,0.0,-11.392927055669933,-4.871341505653393,0.0,-146992982.31637838,350602673.0814493,0.0,932.5218863030656,391.5661051263433,0.0
1623600.0,1882003.9151134721,-4300620.576198315,0.0,-11.439039544251207,-4.761431733654513,0.0,-143629207.42631644,351996211.29340595,0.0,936.2278272728965,382.6159522282648,0.0
1627200.0,1840742.2652810842,-4317563.10982946,0.0,-11.484097116671194,-4.651086088304839,0.0,-140252245.67134458,353357465.66803133,0.0,939.8478672750242,373.6307753900815,0.0
1630800.0,1799320.3144245988,-4334107.632749266,0.0,-11.52809566072572,-4.540314692120691,0.0,-136862406.89194465,354686311.6018375,0.0,943.381675942881,364.61139885042985,0.0
1634400.0,1757741.8822737196,-4350252.630544762,0.0,-11.57103116128077,-4.4291277063049055,0.0,-133460002.1037002,355982627.4642111,0.0,946.828930813631,355.5586499552768,0.0
1638000.0,1716010.8028372556,-4365996.625451272,0.0,-11.612899700634733,-4.317535329817263,0.0,-130045343.46879044,357246294.6084637,0.0,950.1893173572594,346.473359082235,0.0
1641600.0,1674130.9240517283,-4381338.1764866635,0.0,-11.653697458871791,-4.205547798441546,0.0,-126618744.26738077,358477197.38260907,0.0,953.4625290049393,337.3563595646079,0.0
1645200.0,1632106.107428723,-4396275.879582225,0.0,-11.693420714206388,-4.0931753838493234,0.0,-123180518.86891262,359675223.13986665,0.0,956.6482671766731,328.2084876151717,0.0
1648800.0,1589940.2277010153,-4410808.367710175,0.0,-11.732065843318763,-3.9804283926605355,0.0,-119730982.70329493,360840262.2488899,0.0,959.7462413082073,319.030582249701,0.0
1652400.0,1547637.172467507,-4424934.311007775,0.0,-11.769629321681524,-3.8673171655009706,0.0,-116270452.23200014,361972208.1037192,0.0,962.7561688772164,309.82348521024505,0.0
1656000.0,1505200.8418370015,-4438652.416898054,0.0,-11.80610772387722,-3.7538520760567167,0.0,-112799244.91906725,363070957.13345784,0.0,965.677775428755,300.58804088816163,0.0
1659600.0,1462635.1480708527,-4451961.430207113,0.0,-11.8414977239069,-3.640043530125674,0.0,-109317679.2020145,364136408.8116708,0.0,968.510794599976,291.32509624691517,0.0
1663200.0,1419944.0152245194,-4464860.133278019,0.0,-11.875796095489607,-3.5259019646662106,0.0,-105826074.46266448,365168465.6655049,0.0,971.2549681441118,282.0355007446466,0.0
1666800.0,1377131.3787880575,-4477347.346081263,0.0,-11.90899971235282,-3.411437846843053,0.0,-102324750.99788412,366167033.2845299,0.0,973.9100459537174,272.7201062565215,0.0
1670400.0,1334201.1853255834,-4489421.926321783,0.0,-11.941105548513777,-3.296661673070491,0.0,-98814029.99024245,367132020.3293,0.0,976.4757860831725,263.37976699686357,0.0
1674000.0,1291157.3921137408,-4501082.769542533,0.0,-11.972110678551681,-3.181583968052991,0.0,-95294233.47858863,368063338.5396338,0.0,978.9519547704415,254.0153394410807,0.0
1677600.0,1248003.9667792039,-4512328.809224596,0.0,-12.002012277870763,-3.0662152838232912,0.0,-91765684.328553,368960902.74261385,0.0,981.3383264580887,244.6276822473903,0.0
1681200.0,1204744.8869352506,-4523159.016883835,0.0,-12.030807622954164,-2.950566198778084,0.0,-88228706.20297384,369824630.86030334,0.0,983.6346838135474,235.21765617835146,0.0
1684800.0,1161384.1398174376,-4533572.402164056,0.0,-12.058494091608635,-2.8346473167113526,0.0,-84683623.53225243,370654443.91718024,0.0,985.8408177486418,225.78612402221032,0.0
1688400.0,1117925.721918412,-4543568.0129267,0.0,-12.085069163200014,-2.7184692658454654,0.0,-81130761.48463924,371450266.04728794,0.0,987.956527438358,216.33395051406637,0.0
1692000.0,1074373.6386218905,-4553144.935337032,0.0,-12.11053041887948,-2.6020426978601034,0.0,-77570445.93645394,372212024.50110185,0.0,989.9816203388643,206.86200225686645,0.0
1695600.0,1030731.9038358424,-4562302.293946844,0.0,-12.134875541800543,-2.4853782869191154,0.0,-74003003.44224176,372939649.652111,0.0,991.9159122047795,197.37114764223355,0.0
1699200.0,987004.539624907,-4571039.251773632,0.0,-12.15810231732677,-2.368486728695386,0.0,-70428761.20486921,373633075.00311464,0.0,993.7592271056853,187.86225677113762,0.0
1702800.0,943195.5758420797,-4579355.010376279,0.0,-12.180208633230219,-2.2513787393938025,0.0,-66848047.04556154,374292237.19223297,0.0,995.5113974418845,178.33620137441562,0.0
1706400.0,899309.049759702,-4587248.809927204,0.0,-12.201192479880557,-2.134065054772412,0.0,-63261189.37388497,374917075.9986312,0.0,997.1722639594008,168.7938547331476,0.0
1710000.0,855349.0056997851,-4594719.929280987,0.0,-12.221051950424872,-2.016556429161854,0.0,-59668517.15767622,375507534.3479569,0.0,998.7416757642218,159.23609159889656,0.0
1713600.0,811319.4946637056,-4601767.686039466,0.0,-12.239785240958135,-1.8988636344831582,0.0,-56070359.89292215,376063558.31749016,0.0,1000.219490335781,149.66378811381855,0.0
1717200.0,767224.5739613023,-4608391.4366132915,0.0,-12.257390650684306,-1.7809974592639939,0.0,-52467047.573592216,376585097.1410056,0.0,1001.6055735396797,140.0778217306508,0.0
1720800.0,723068.3068394108,-4614590.576279933,0.0,-12.273866582068088,-1.662968707653463,0.0,-48858910.66142652,377072103.2133462,0.0,1002.8997996396472,130.47907113258478,0.0
1724400.0,678854.7621098688,-4620364.539238144,0.0,-12.289211540977284,-1.5447881984355203,0.0,-45246280.05568218,377524532.09470874,0.0,1004.1020513087379,120.8684161530313,0.0
1728000.0,634588.0137770254,-4625712.798658867,0.0,-12.303424136815774,-1.4264667640411146,0.0,-41629487.06284073,377942342.51463985,0.0,1005.2122196397651,111.24673769528528,0.0
1731600.0,590272.1406647885,-4630634.866732587,0.0,-12.316503082647081,-1.3080152495591357,0.0,-38008863.36627937,378325496.375743,0.0,1006.230204154969,101.61491765209676,0.0
1735200.0,545911.2260432453,-4635130.294713111,0.0,-12.328447195308529,-1.1894445117462575,0.0,-34384740.99590878,378673958.7570953,0.0,1007.1559128149207,91.97383882515612,0.0
1738800.0,501509.357254887,-4639198.672957792,0.0,-12.339255395515975,-1.0707654180357669,0.0,-30757452.29778024,378987697.9173751,0.0,1007.9892620266593,82.32438484450002,0.0
1742400.0,457070.6253404756,-4642839.6309641795,0.0,-12.348926707959112,-0.9519888455454664,0.0,-27127329.90366487,379266685.2976986,0.0,1008.7301766510615,72.66744008784583,0.0
1746000.0,412599.1246645827,-4646052.837403095,0.0,-12.357460261387326,-0.8331256800847395,0.0,-23494706.70060768,379510895.5241663,0.0,1009.3785900094448,63.00388959986161,0.0
1749600.0,368098.95254083764,-4648838.000148133,0.0,-12.364855288686108,-0.7141868151608693,0.0,-19859915.800459273,379720306.41011834,0.0,1009.9344438894019,53.33461901137874,0.0
1753200.0,323574.2088569164,-4651194.866301585,0.0,-12.371111126944022,-0.5951831509846974,0.0,-16223290.509387897,379894898.9580996,0.0,1010.3976885498666,43.66051445855473,0.0
1756800.0,279028.9956993074,-4653123.222216778,0.0,-12.376227217510197,-0.4761255934757146,0.0,-12585164.297374656,380034657.36153316,0.0,1010.768282725411,33.98246250199325,0.0
1760400.0,234467.41697788693,-4654622.89351684,0.0,-12.380203106042366,-0.35702505326667106,0.0,-8945870.767694635,380139569.0061025,0.0,1011.0461936297733,24.30135004582874,0.0
1764000.0,189893.57805033846,-4655693.74510987,0.0,-12.383038442545436,-0.2378924447077964,0.0,-5305743.626386706,380209624.47084266,0.0,1011.2313969586156,14.618064256782867,0.0
1767600.0,145311.5853464507,-4656335.6812005285,0.0,-12.384732981400589,-0.11873868487071822,0.0,-1665116.6517147962,380244817.5289399,0.0,1011.3238768915128,4.933492483199997,0.0
1771200.0,100725.54599232753,-4656548.645298045,0.0,-12.385286581384905,0.0004253074478314106,0.0,1975676.3363766181,380245145.1482396,0.0,1011.3236260931706,-4.751477825930923,0.0
1774800.0,56139.56743454441,-4656332.62022063,0.0,-12.384699205681517,0.11958861272243115,0.0,5616301.50681002,380210607.491463,0.0,1011.230645713874,-14.435959201960886,0.0
1778400.0,11557.757064285419,-4655687.6280963095,0.0,-12.382970921880284,0.23874031169541937,0.0,9256425.047922585,380141207.9161321,0.0,1011.0449453891657,-24.119064237564473,0.0
1782000.0,-33015.778158505156,-4654613.730360162,0.0,-12.380101901969,0.35786948637328625,0.0,12895713.198011378,380036952.97420305,0.0,1010.7665432387547,-33.79990566771534,0.0
1785600.0,-77576.93208092256,-4653111.027747981,0.0,-12.376092422315121,0.47696522102292016,0.0,16533832.275873221,379897852.4114083,0.0,1010.3954658646543,-43.47759645064632,0.0
1789200.0,-122121.59973281846,-4651179.660286338,0.0,-12.370942863638023,0.5960166031676193,0.0,20170448.71133649,379723919.1663071,0.0,1009.9317483485515,-53.151249848786776,0.0
1792800.0,-166645.6777024009,-4648819.807279071,0.0,-12.364653710971796,0.7150127245827779,0.0,23805229.07578204,379515169.3690447,0.0,1009.3754342484066,-62.819979509670134,0.0
1796400.0,-211145.06451168325,-4646031.687290185,0.0,-12.357225553618568,0.8339426822911598,0.0,27437840.112650514,379271622.3398206,0.0,1008.7265755942832,-72.48289954680409,0.0
1800000.0,-255615.6609917482,-4642815.558123171,0.0,-12.348659085092372,0.9527955795576677,0.0,31067948.767933264,378993300.5870653,0.0,1007.9852328834103,-82.13912462049649,0.0
1803600.0,-300053.37065779255,-4639171.716796745,0.0,-12.338955103053559,1.0715605268835209,0.0,34695222.22064409,378680229.8053264,0.0,1007.1514750744759,-91.78777001862937,0.0
1807200.0,-344454.1000839189,-4635100.499517006,0.0,-12.328114509233755,1.1902266429997508,0.0,38319327.91326906,378332438.8728643,0.0,1006.2253795811531,-101.42795173737423,0.0
1810800.0,-388813.75927764026,-4630602.281646026,0.0,-12.316138309351386,1.3087830558599263,0.0,41939933.58219167,377949959.84895694,0.0,1005.2070322648586,-111.0587865618409,0.0
1814400.0,-433128.2620540635,-4625677.477666862,0.0,-12.303027613017763,1.4272189036320189,0.0,45556707.288090535,377532827.9709146,0.0,1004.0965274267458,-120.67939214665321,0.0
1818000.0,-477393.5264097176,-4620326.541144999,0.0,-12.288783633633747,1.54552333568932,0.0,49169317.446306854,377081081.6508048,0.0,1002.8939677989307,-130.28888709644383,0.0
1821600.0,-521605.47489599354,-4614549.96468623,0.0,-12.273407688276986,1.6636855136003192,0.0,52777432.857178956,376594762.47188747,0.0,1001.5994645349549,-139.88639104626128,0.0
1825200.0,-565760.0349921603,-4608348.279890975,0.0,-12.256901197579765,1.7816946121174573,0.0,56380722.736341104,376073915.18476075,0.0,1000.2131371994828,-149.471024741882,0.0
1828800.0,-609853.1394779251,-4601722.057305039,0.0,-12.239265685597442,1.8995398201646636,0.0,59978856.744983844,375518587.70321816,0.0,998.7351137572371,-159.04191012001985,0.0
1832400.0,-653880.726805503,-4594671.906366821,0.0,-12.220502779667516,2.0172103418235903,0.0,63571505.02007315,374928831.099817,0.0,997.165530561171,-168.5981703884264,0.0
1836000.0,-697838.7414711616,-4587198.475350973,0.0,-12.200614210259316,2.134695397318453,0.0,67158338.20452565,374304699.6011583,0.0,995.5045323398805,-178.1389301058744,0.0
1839600.0,-741723.1343862087,-4579302.451308515,0.0,-12.17960181081434,2.2519842239993926,0.0,70739027.47733709,373646250.58287984,0.0,993.7522721842564,-187.6633152620174,0.0
1843200.0,-785529.8632473876,-4570984.560003418,0.0,-12.157467517577246,2.369066077324267,0.0,74313244.58366148,372953544.564361,0.0,991.9089115333774,-197.1704533571183,0.0
1846800.0,-829254.8929066476,-4562245.565845647,0.0,-12.134213369417521,2.4859302318387866,0.0,77880661.864838,372226645.20314145,0.0,989.974620159646,-206.65947348164005,0.0
1850400.0,-872894.1957402561,-4553086.2718206905,0.0,-12.109841507641839,2.602565982154904,0.0,81440952.28836308,371465619.2890535,0.0,987.9495761531686,-216.1295063956905,0.0
1854000.0,-916443.7520172172,-4543507.519415557,0.0,-12.08435417579712,2.718962643927372,0.0,84993789.47780491,370670536.73806834,0.0,985.8339659053806,-225.57968460831526,0.0
1857600.0,-959899.550266966,-4533510.188541273,0.0,-12.057753719464317,2.835109554828382,0.0,88538847.74265759,369841470.58585757,0.0,983.6279840919188,-235.00914245663083,0.0
